,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
angri,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Story of Muhammed din.txt,,,,,,,,,,,,,,,,
arsen,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
achiev,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
took,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Story of Muhammed din.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,
continu,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,
appeal,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
array,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
paragon,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
master,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,,,,,,,,,,,,,,
amritsar,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
hold,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,,,,,,,,,,
worst,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,,,,,,,,,,,,
forgotten,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,
provid,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,
men,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,
street,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,,,,,,,,,,,,,,,,,,,,,
sais',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
tell,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Story of Muhammed din.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,
bull,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,
swallow,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
suppress,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
dark,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,,,,,,,,,,,,,,,,,,
pretti,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,
note,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,,,,,,,,,,,,,,,,
scandal,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,
pig,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,,,,,,,,,,,,,,,,,,,,
soda,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
paint,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,
never,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Story of Muhammed din.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,
thieves',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
poison,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,,,,,,,,,,,,,,,,,,,
puff,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
well,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Story of Muhammed din.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,
fine,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,,,,,,,,,,,,,,,,,
wild,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,
lead,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,
transform,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
year,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,
chose,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,,,,,,,,,,,,,,,,,
sake,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The brochkorst divorce case.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,,,,,,,,,,
linen,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
invis,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,,,,,,,,,,,,,,,,,,,,,,,
noth,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Miss Yougals sais.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Venus Annodomini.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/By word of mouth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,
